,tags,channelId,channelTitle,categoryId,title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
37,"['Corona', 'Virus', 'Infekt', 'Erlangen', 'Nürnberg', 'Oberarzt', 'Hautklinik', 'Pressekonferenz', 'Mittelfranken', 'Uniklinikum', 'Frankenschau aktuell', 'Patienten', 'Fieber', 'Isolationszimmer', 'Schleuse', 'hochansteckend', 'Infektionsschutz', 'Tröpfcheninfektion', 'Schutzkleidung', 'Schutzmaske', 'Kontamination', 'Covid 19', 'Deutschland', 'Jens Spahn', 'Händedesinfektion', 'Notaufnahme', 'Kontaktpersonen', 'Gesundheitsamt', 'Uniklinik Erlangen', 'Gesundheitszustand']",UCcweJsCV2TUP_kzMX25U-oQ,BR24,25,Uniklinik Erlangen: Oberarzt mit Coronavirus infiziert | BR24,Rp4T_wQX6No,156488,1777,160,343,0
38,"['Super Tuesday', 'Katy Tur', 'Coronavirus', 'MSNBC', 'NBC News', 'news', 'breaking news', 'us news', 'world news', 'politics', 'current events', 'top stories', 'pop culture', 'business', 'health', 'liberal', 'progressive', 'Katy Tur MSNBC', 'msnbc live', 'katy tur live', 'coronavirus update', 'coronavirus us', 'coronavirus news', 'coronavirus symptoms', 'illness', 'cdc', 'center for disease control', 'safety', 'sickness', 'virus protection', 'coronavirus outbreak', 'COVID-19', 'pandemic', 'outbreak', 'covid-19 news', 'covid-19 updates', 'covid-19 outbreak']",UCaXkIU1QidjPwiAYu6GcHjg,MSNBC,25,More Coronavirus Cases Reported In California | Katy Tur | MSNBC,Nt5D5H06h2I,120226,668,211,921,0
39,"['2020', 'aktuell', 'welt', 'n24', 'nachrichten', 'news', 'video', 'tv', 'fernsehen', 'china', 'todesfall', 'gesundheit', 'corona', 'corona virus', 'virus', 'quarantäne', 'china virus', 'notstand', 'pandemie', 'lungenkrankheit', 'covid 19', 'seuche', 'wuhan', 'infektion', 'mers', 'sars', 'kirse', 'symptome', 'virus china', 'epidemie', 'coronavirus outbreak', 'hubei', 'who', 'coronavirus china', 'coronavirus', 'covid-19', 'infektionen', 'krise', 'ärzte', 'sars cov 2', 'wirtschaft', 'berlin', 'deutschland', 'vormarsch', 'hausärzte', 'wuhan coronavirus', 'virus in china', 'wuhan virus', 'ausbreitung']",UCZMsvbAhhRblVGXmEXW8TSA,WELT Nachrichtensender,25,WELT THEMA: Coronavirus-Epidemie - Covid-19 hat Deutschland fest im Würgegriff,FroEJJTqpwY,149023,860,942,[],0
40,"['washinton state outbreak', 'washington state coronavirus', 'washington coronavirus deaths', 'coronavirus', 'covid-19', 'how many coronavirus cases are in the us?', 'coronavirus u.s.', 'u.s. coronavirus task force', 'china', 'COVID-19', 'Wuhan coronavirus', 'China coronavirus', 'coronavirus outbreak', 'coronavirus quarantine', 'quarantine', 'travel', 'health', 'COVID-19 outbreak', 'COVID-19 spread', 'WHO', 'World Health Organization', 'Washington', 'Washington state', 'Jay Inslee', 'Washington governor']",UChLtXXpo4Ge1ReTEboVvTDg,Global News,25,Coronavirus outbreak: Washington governor addresses virus outbreak in state | FULL,PdLC3utPlfk,119981,831,185,575,0
41,"['coronavirus', 'health and wellness', 'news', 'Inside Edition', 'Inside_Edition', 'ie newsdesk', 'ie health', 'steve wozniak', 'apple', 'apple co-founder', 'apple founder', 'hong kong', 'china', 'wuhan', 'patient zero', 'travel', 'covid-19', 'symptom']",UC9k-yiEpRHMNVOnOi_aQK8w,Inside Edition,25,Apple Co-Founder Thinks He May Be Coronavirus Patient Zero,Nsz-JQVJAbw,390681,5946,237,898,0
42,"['Coronavirus', 'Covid-19', 'France', 'Santé', 'Not Specified', 'france24', 'news']",UCCCPCZNChQdGa9EkATeye4g,FRANCE 24,25,Coronavirus en France : un nouveau mort dans l&#39;Oise selon le maire de Compiègne,UFUaS1sBK5s,291821,1884,148,643,0
43,"['COVID-19', 'coronavirus', 'coronavirus outbreak', 'coronavirus in the U.S.', 'Coronavirus in Canada', 'virus outbreak', 'health', ""Wet'suwet'en Nation"", ""Wet'suwet'en hereditary chiefs"", 'rail blockades', 'Canadian politics', 'Cdnpoli']",UChLtXXpo4Ge1ReTEboVvTDg,Global News,25,"Global National: March 2, 2020 | coronavirus death toll rises in the U.S.",J6X_nD-QU9U,410702,2405,245,1229,0
44,"['Nightly News', 'U.S. News', 'Coronavirus', 'NBC Nightly News with Lester Holt', 'nbc news', 'news', 'breaking news', 'us news', 'world news', 'politics', 'current events', 'top stories', 'pop culture', 'business', 'health', 'nbc nightly news', 'lester holt', 'nbc news lester holt', 'nightly news full', 'coronavirus us', 'coronavirus news', 'illness', 'cdc', 'safety', 'symptoms', 'sickness', 'virus protection', 'outbreak', 'coronavirus outbreak', 'COVID-19', 'pandemic', 'coronavirus explained', 'covid-19 news', 'covid-19 updates', 'covid-19 outbreak']",UCeY0bbntWzzVIaj2z3QigXg,NBC News,25,Americans Stock Up As Coronavirus Cases Grow | NBC Nightly News,GMswP7jgfVg,95896,549,47,387,0
45,"['Ontario', 'Ontario COVID-19', 'Ontario Coronavirus', 'COVID-19', 'coronavirus', 'Wuhan coronavirus', 'China coronavirus', 'coronavirus outbreak', 'coronavirus quarantine', 'quarantine', 'travel', 'health', 'COVID-19 outbreak', 'COVID-19 spread', 'WHO', 'World Health Organization']",UChLtXXpo4Ge1ReTEboVvTDg,Global News,25,"Coronavirus outbreak: 3 new cases of COVID-19 in Ontario, province total now at 18 | FULL",o2gE7MSyV2o,86080,631,224,579,0
46,"['ln+', 'ln', 'ln en vivo', 'ln+ en vivo', 'la nacion', 'diario la nacion', 'la nacion en vivo', 'la nacion mas en vivo', 'noticias argentina', 'coronavirus', 'virus chino', 'china', 'infectados', 'epidemia', 'pandemia', 'afectados', 'asia', 'japon', 'corea', 'muertos', 'italia', 'francia', 'europa', 'eeuu', 'argentina', 'hospital suizo', 'gripe a', 'dengue', 'fiebre', 'sintomas', 'estornudo', 'tos', 'barbijos', 'barbijo', 'prevencion']",UCba3hpU7EFBSk817y9qZkiA,LA NACION,25,¿Cómo llegó el Coronavirus hasta la Argentina?,LPQ_hyQAoNc,146312,1245,232,1090,0
